NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 65%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 65%72312	Details ...	199	-0.89949864	-2.8834813	0.0	0.0	0.0	719	tags=54%, list=5%, signal=56%	
TRANSLATION%REACTOME%R-HSA-72766.6	TRANSLATION%REACTOME%R-HSA-72766.6	Details ...	287	-0.85516983	-2.8284252	0.0	0.0	0.0	719	tags=44%, list=5%, signal=46%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.5	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.5	Details ...	189	-0.9043229	-2.818844	0.0	0.0	0.0	719	tags=56%, list=5%, signal=58%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	Details ...	116	-0.93956333	-2.8164222	0.0	0.0	0.0	676	tags=79%, list=5%, signal=83%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 65%6791226	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 65%6791226	Details ...	179	-0.9056668	-2.8106024	0.0	0.0	0.0	719	tags=57%, list=5%, signal=59%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	Details ...	126	-0.93564004	-2.7740765	0.0	0.0	0.0	519	tags=67%, list=4%, signal=69%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 65%72613	Details ...	116	-0.93956333	-2.7612042	0.0	0.0	0.0	676	tags=79%, list=5%, signal=83%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	79	-0.9574532	-2.7417226	0.0	0.0	0.0	467	tags=89%, list=3%, signal=91%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 65%72706	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 65%72706	Details ...	109	-0.9436644	-2.7385108	0.0	0.0	0.0	519	tags=78%, list=4%, signal=80%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.2	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.2	Details ...	161	-0.88064003	-2.7375484	0.0	0.0	0.0	608	tags=58%, list=4%, signal=60%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 65%156827	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 65%156827	Details ...	108	-0.9432981	-2.737154	0.0	0.0	0.0	519	tags=78%, list=4%, signal=80%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	Details ...	86	-0.9556198	-2.7326484	0.0	0.0	0.0	519	tags=86%, list=4%, signal=89%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.6	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.6	Details ...	86	-0.9548184	-2.7316859	0.0	0.0	0.0	519	tags=84%, list=4%, signal=86%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.4	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.4	Details ...	90	-0.94520104	-2.7307692	0.0	0.0	0.0	519	tags=80%, list=4%, signal=83%	
