NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	71	0.843425	1.8623499	0.0	0.0	0.0	194	tags=14%, list=1%, signal=14%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	98	0.8064394	1.8423557	0.0	0.0	0.0	194	tags=12%, list=1%, signal=12%	
CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH RUSSELL PATHWAYS%WIKIPATHWAYS_20240210%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH RUSSELL PATHWAYS%WIKIPATHWAYS_20240210%WP4718%HOMO SAPIENS	Details ...	34	0.9051302	1.8174171	0.0	1.3439574E-4	5.0E-4	897	tags=56%, list=6%, signal=60%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	59	0.84125537	1.8120415	0.0	1.0079681E-4	5.0E-4	922	tags=17%, list=7%, signal=18%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.3	Details ...	121	0.77647376	1.809783	0.0	8.0637445E-5	5.0E-4	194	tags=10%, list=1%, signal=10%	
CHOLESTEROL METABOLISM%WIKIPATHWAYS_20240210%WP5304%HOMO SAPIENS	CHOLESTEROL METABOLISM%WIKIPATHWAYS_20240210%WP5304%HOMO SAPIENS	Details ...	36	0.89056927	1.8057014	0.0	6.719787E-5	5.0E-4	897	tags=47%, list=6%, signal=50%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	77	0.8051385	1.8000796	0.0	5.7598176E-5	5.0E-4	194	tags=13%, list=1%, signal=13%	
METABOLISM OF STEROIDS%REACTOME%R-HSA-8957322.4	METABOLISM OF STEROIDS%REACTOME%R-HSA-8957322.4	Details ...	107	0.78110725	1.7922131	0.0	5.0398405E-5	5.0E-4	1164	tags=31%, list=8%, signal=33%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	65	0.8214659	1.7896242	0.0	4.479858E-5	5.0E-4	922	tags=15%, list=7%, signal=16%	
STEROL REGULATORY ELEMENT BINDING PROTEINS SREBP SIGNALING%WIKIPATHWAYS_20240210%WP1982%HOMO SAPIENS	STEROL REGULATORY ELEMENT BINDING PROTEINS SREBP SIGNALING%WIKIPATHWAYS_20240210%WP1982%HOMO SAPIENS	Details ...	46	0.8575811	1.7817068	0.0	4.0318722E-5	5.0E-4	264	tags=30%, list=2%, signal=31%	
